OP,OPCODE,INVALID_OP,SKIP_TO_RETIRE,REG_DEST_VALID,REG_SRC1_VALID,REG_SRC2_VALID,PRED_DEST_VALID,PRED_SRC1_VALID,PRED_SRC2_VALID,DEST_IS_SRC,PRED_SRC_REG,INS_TYPE[1:0],BR_INS,BR_TYPE[1:0],MEM_INS,MEM_TYPE,FUNC_UNIT[2:0],MUXA[1:0],MUXB[1:0],ALU_OP[2:0],COMPLEX_ALU_OP[2:0],PRED_OP[2:0],FLOAT_OP[2:0],LATENCY[3:0]
NOP,0x00,0,1,0,,0,0,0,0,0,0,[00],0,[00],0,0,[000],[00],[00],[000],[000],[000],[000],[0001]
DI,0x01,1,1,,,,,,,,,,,,,,,,,,,,,
EI,0x02,1,1,,,,,,,,,,,,,,,,,,,,,
TLBADD,0x03,1,1,,,,,,,,,,,,,,,,,,,,,
TLBFLUSH,0x04,1,1,,,,,,,,,,,,,,,,,,,,,
NEG,0x05,0,0,1,1,0,0,0,0,0,0,[10],0,[00],0,0,[000],[11],[00],[001],[000],[000],[000],[0001]
NOT,0x06,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[000],[11],[00],[010],[000],[000],[000],[0001]
AND,0x07,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[000],[11],[11],[011],[000],[000],[000],[0001]
OR,0x08,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[000],[11],[11],[100],[000],[000],[000],[0001]
XOR,0x09,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[000],[11],[11],[101],[000],[000],[000],[0001]
ADD,0x0a,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[000],[11],[11],[110],[000],[000],[000],[0001]
SUB,0x0b,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[000],[11],[11],[111],[000],[000],[000],[0001]
MUL,0x0c,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[010],[11],[11],[000],[001],[000],[000],[0110]
DIV,0x0d,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[010],[11],[11],[000],[010],[000],[000],[1110]
MOD,0x0e,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[010],[11],[11],[000],[011],[000],[000],[1110]
SHL,0x0f,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[010],[11],[11],[000],[100],[000],[000],[0011]
SHR,0x10,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[010],[11],[11],[000],[101],[000],[000],[0011]
ANDI,0x11,0,0,1,1,0,0,0,0,0,0,[10],0,[00],0,0,[000],[11],[01],[011],[000],[000],[000],[0001]
ORI,0x12,0,0,1,1,0,0,0,0,0,0,[10],0,[00],0,0,[000],[11],[01],[100],[000],[000],[000],[0001]
